
--- Top/Bottom 25 Geom Clusters by Overall Median r_baseline (C1, Thresh 15deg) ---
Total unique geom clusters: 512

--- Top N ---
1. ClID:485 | Med.r_base:0.7762 | Dom.Type:DMEAN_Safe_Phrase | Bases(1):DMEAN_Safe_Phrase_L11_v2.npz
2. ClID:49 | Med.r_base:0.7585 | Dom.Type:Cont_N_BadGramm_R (Mix+1) | Bases(2):Cont_N_BadGramm_R_L11_v1.npz, DMEAN_Cont_N_BadGramm_R_L11_v1.npz
3. ClID:53 | Med.r_base:0.7547 | Dom.Type:Cont_N_BadGramm_S (Mix+1) | Bases(2):Cont_N_BadGramm_S_L11_v1.npz, DMEAN_Cont_N_BadGramm_S_L11_v1.npz
4. ClID:48 | Med.r_base:0.7519 | Dom.Type:Safe_Word | Bases(1):Safe_Word_L11_v1.npz
5. ClID:129 | Med.r_base:0.7504 | Dom.Type:Cont_N_BadGramm_R (Mix+1) | Bases(2):Cont_N_BadGramm_R_L11_v2.npz, DMEAN_Cont_N_BadGramm_R_L11_v2.npz
6. ClID:15 | Med.r_base:0.7493 | Dom.Type:Cont_N_BadGramm_R (Mix+1) | Bases(2):Cont_N_BadGramm_R_L11_v3.npz, DMEAN_Cont_N_BadGramm_R_L11_v3.npz
7. ClID:32 | Med.r_base:0.7458 | Dom.Type:DMEAN_Safe_Word (Mix+1) | Bases(2):DMEAN_Safe_Word_L11_v2.npz, Safe_Word_L11_v2.npz
8. ClID:230 | Med.r_base:0.7453 | Dom.Type:DMEAN_Safe_Phrase | Bases(1):DMEAN_Safe_Phrase_L11_v3.npz
9. ClID:481 | Med.r_base:0.7405 | Dom.Type:DMEAN_Safe_List | Bases(1):DMEAN_Safe_List_L11_v3.npz
10. ClID:509 | Med.r_base:0.7404 | Dom.Type:DMEAN_Safe_Phrase | Bases(1):DMEAN_Safe_Phrase_L11_v1.npz
11. ClID:122 | Med.r_base:0.7384 | Dom.Type:Cont_WallfacZ (Mix+1) | Bases(2):Cont_WallfacZ_L11_v2.npz, DMEAN_Cont_WallfacZ_L11_v2.npz
12. ClID:2 | Med.r_base:0.7353 | Dom.Type:Cont_WallfacZ (Mix+1) | Bases(2):Cont_WallfacZ_L11_v1.npz, DMEAN_Cont_WallfacZ_L11_v1.npz
13. ClID:308 | Med.r_base:0.7346 | Dom.Type:DMEAN_Cont_N_NonHumanMix_R | Bases(1):DMEAN_Cont_N_NonHumanMix_R_L11_v2.npz
14. ClID:464 | Med.r_base:0.7323 | Dom.Type:DMEAN_Safe_Phrase | Bases(1):DMEAN_Safe_Phrase_L11_v4.npz
15. ClID:61 | Med.r_base:0.7307 | Dom.Type:Cont_N_BadGramm_S (Mix+1) | Bases(2):Cont_N_BadGramm_S_L11_v2.npz, DMEAN_Cont_N_BadGramm_S_L11_v2.npz
16. ClID:120 | Med.r_base:0.7303 | Dom.Type:Cont_N_BadGramm_S (Mix+1) | Bases(2):Cont_N_BadGramm_S_L11_v3.npz, DMEAN_Cont_N_BadGramm_S_L11_v3.npz
17. ClID:20 | Med.r_base:0.7283 | Dom.Type:DMEAN_Safe_Phrase (Mix+1) | Bases(2):DMEAN_Safe_Phrase_L11_v5.npz, Safe_Phrase_L11_v5.npz
18. ClID:107 | Med.r_base:0.7256 | Dom.Type:DMEAN_Safe_List (Mix+1) | Bases(2):DMEAN_Safe_List_L11_v1.npz, Safe_List_L11_v1.npz
19. ClID:482 | Med.r_base:0.7199 | Dom.Type:DMEAN_Cont_N_StreamNoise_R | Bases(1):DMEAN_Cont_N_StreamNoise_R_L11_v3.npz
20. ClID:417 | Med.r_base:0.7193 | Dom.Type:DMEAN_Cont_N_Jabberw_S | Bases(1):DMEAN_Cont_N_Jabberw_S_L11_v4.npz
21. ClID:418 | Med.r_base:0.7169 | Dom.Type:DMEAN_Cont_N_NonHumanMix_S | Bases(1):DMEAN_Cont_N_NonHumanMix_S_L11_v2.npz
22. ClID:43 | Med.r_base:0.7157 | Dom.Type:Cont_N_Jabberw_S (Mix+1) | Bases(2):Cont_N_Jabberw_S_L11_v3.npz, DMEAN_Cont_N_Jabberw_S_L11_v3.npz
23. ClID:16 | Med.r_base:0.7124 | Dom.Type:CtrlPolar_FastSlow (Mix+1) | Bases(2):CtrlPolar_FastSlow_L11_v2.npz, DMEAN_CtrlPolar_FastSlow_L11_v2.npz
24. ClID:10 | Med.r_base:0.7112 | Dom.Type:DMEAN_Safe_Word (Mix+1) | Bases(2):DMEAN_Safe_Word_L11_v4.npz, Safe_Word_L11_v4.npz
25. ClID:74 | Med.r_base:0.7078 | Dom.Type:DMEAN_Safe_Word (Mix+1) | Bases(2):DMEAN_Safe_Word_L11_v3.npz, Safe_Word_L11_v3.npz

--- Bottom N ---
