filename,cluster_id
Cont_N_BadGramm_R_L11_v1.npz,49
Cont_N_BadGramm_R_L11_v2.npz,129
Cont_N_BadGramm_R_L11_v3.npz,15
Cont_N_BadGramm_R_L11_v4.npz,77
Cont_N_BadGramm_R_L11_v5.npz,78
Cont_N_BadGramm_S_L11_v1.npz,53
Cont_N_BadGramm_S_L11_v2.npz,61
Cont_N_BadGramm_S_L11_v3.npz,120
Cont_N_BPE_R_L11_v3.npz,59
Cont_N_Conlang_R_L11_v3.npz,65
Cont_N_Conrandm_R_L11_v2.npz,33
Cont_N_Conrandm_R_L11_v4.npz,156
Cont_N_Conrandm_R_L11_v5.npz,19
Cont_N_EmojiSoup_R_L11_v3.npz,6
Cont_N_Jabberw_R_L11_v3.npz,46
Cont_N_Jabberw_S_L11_v1.npz,73
Cont_N_Jabberw_S_L11_v3.npz,43
Cont_N_Morse_R_L11_v3.npz,55
Cont_N_Morse_S_L11_v1.npz,17
Cont_N_Morse_S_L11_v3.npz,8
Cont_N_NonEng_R_L11_v2.npz,58
Cont_N_NonEng_R_L11_v5.npz,30
Cont_N_NonEng_S_L11_v2.npz,27
Cont_N_NonEng_S_L11_v4.npz,5
Cont_N_NonEng_S_L11_v5.npz,4
Cont_N_NonHumanMix_R_L11_v3.npz,18
Cont_N_NonHumanMix_S_L11_v1.npz,40
Cont_N_NonHumanMix_S_L11_v4.npz,131
Cont_N_OverEmoji_R_L11_v1.npz,36
Cont_N_Overload_R_L11_v1.npz,109
Cont_N_Overload_R_L11_v3.npz,7
Cont_N_Overload_R_L11_v4.npz,41
Cont_N_Overload_R_L11_v5.npz,66
Cont_N_Overload_S_L11_v2.npz,51
Cont_N_Overload_S_L11_v4.npz,111
Cont_N_Overload_S_L11_v5.npz,47
Cont_N_Overtoken_R_L11_v1.npz,22
Cont_N_Overtoken_R_L11_v5.npz,191
Cont_N_Overtoken_S_L11_v1.npz,0
Cont_N_Procbab_R_L11_v2.npz,1
Cont_N_Procbab_R_L11_v3.npz,93
Cont_N_Procbab_R_L11_v4.npz,42
Cont_N_Procbab_R_L11_v5.npz,12
Cont_N_Procbab_S_L11_v2.npz,14
Cont_N_Procbab_S_L11_v4.npz,9
Cont_N_Procbab_S_L11_v5.npz,54
Cont_N_Pseudolang_R_L11_v1.npz,11
Cont_N_SingLang_S_L11_v1.npz,25
Cont_N_SingLang_S_L11_v4.npz,104
Cont_N_SingLang_S_L11_v5.npz,56
Cont_N_SingLangNonHum_S_L11_v2.npz,91
Cont_N_SingLangNonHum_S_L11_v4.npz,62
Cont_N_SingLangNonHum_S_L11_v5.npz,95
Cont_N_SingLangNonHumMix_S_L11_v1.npz,50
Cont_N_SingLangNonHumMix_S_L11_v2.npz,24
Cont_N_SingLangNonHumMix_S_L11_v3.npz,148
Cont_N_SingLangNonHumMix_S_L11_v4.npz,45
Cont_N_SingLangNonHumMix_S_L11_v5.npz,88
Cont_N_StreamNoise_R_L11_v2.npz,249
Cont_N_StreamNoise_R_L11_v4.npz,108
Cont_N_StreamNoise_R_L11_v5.npz,125
Cont_N_StreamNoise_S_L11_v1.npz,75
Cont_N_StreamNoise_S_L11_v2.npz,37
Cont_N_StreamNoise_S_L11_v5.npz,29
Cont_N_SynthUniC_R_L11_v1.npz,38
Cont_N_SynthUniC_R_L11_v3.npz,63
Cont_N_SynthUniC_R_L11_v4.npz,252
Cont_N_SynthUniC_R_L11_v5.npz,251
Cont_N_SynthUniC_S_L11_v2.npz,87
Cont_N_SynthUniC_S_L11_v3.npz,13
Cont_N_SynthUniC_S_L11_v4.npz,64
Cont_N_SynthUniC_S_L11_v5.npz,21
Cont_N_Typobabble_S_L11_v2.npz,110
Cont_N_Zalgo_S_L11_v1.npz,35
Cont_WallfacZ_L11_v1.npz,2
Cont_WallfacZ_L11_v2.npz,122
Cont_WallfacZ_L11_v3.npz,60
Cont_WallfacZ_L11_v4.npz,123
Cont_WallfacZ_L11_v5.npz,23
CtrlPolar_FastSlow_L11_v2.npz,16
CtrlPolar_HappySad_L11_v4.npz,248
CtrlPolar_HotCold_L11_v1.npz,31
CtrlPolar_SimpleComplex_L11_v5.npz,158
DMEAN_Cont_N_Alphabets_R_L11_v1.npz,408
DMEAN_Cont_N_Alphabets_R_L11_v2.npz,460
DMEAN_Cont_N_Alphabets_R_L11_v3.npz,358
DMEAN_Cont_N_Alphabets_R_L11_v4.npz,400
DMEAN_Cont_N_Alphabets_R_L11_v5.npz,489
DMEAN_Cont_N_Alphabets_S_L11_v1.npz,457
DMEAN_Cont_N_Alphabets_S_L11_v2.npz,303
DMEAN_Cont_N_Alphabets_S_L11_v3.npz,353
DMEAN_Cont_N_Alphabets_S_L11_v4.npz,321
DMEAN_Cont_N_Alphabets_S_L11_v5.npz,396
DMEAN_Cont_N_BadGramm_R_L11_v1.npz,49
DMEAN_Cont_N_BadGramm_R_L11_v2.npz,129
DMEAN_Cont_N_BadGramm_R_L11_v3.npz,15
DMEAN_Cont_N_BadGramm_R_L11_v4.npz,77
DMEAN_Cont_N_BadGramm_R_L11_v5.npz,78
DMEAN_Cont_N_BadGramm_S_L11_v1.npz,53
DMEAN_Cont_N_BadGramm_S_L11_v2.npz,61
DMEAN_Cont_N_BadGramm_S_L11_v3.npz,120
DMEAN_Cont_N_BadGramm_S_L11_v4.npz,405
DMEAN_Cont_N_BadGramm_S_L11_v5.npz,473
DMEAN_Cont_N_BPE_R_L11_v1.npz,447
DMEAN_Cont_N_BPE_R_L11_v2.npz,301
DMEAN_Cont_N_BPE_R_L11_v3.npz,59
DMEAN_Cont_N_BPE_R_L11_v4.npz,324
DMEAN_Cont_N_BPE_R_L11_v5.npz,407
DMEAN_Cont_N_BPE_S_L11_v1.npz,424
DMEAN_Cont_N_BPE_S_L11_v2.npz,468
DMEAN_Cont_N_BPE_S_L11_v3.npz,404
DMEAN_Cont_N_BPE_S_L11_v4.npz,399
DMEAN_Cont_N_BPE_S_L11_v5.npz,340
DMEAN_Cont_N_Conlang_R_L11_v1.npz,348
DMEAN_Cont_N_Conlang_R_L11_v2.npz,351
DMEAN_Cont_N_Conlang_R_L11_v3.npz,65
DMEAN_Cont_N_Conlang_R_L11_v4.npz,454
DMEAN_Cont_N_Conlang_R_L11_v5.npz,420
DMEAN_Cont_N_Conlang_S_L11_v1.npz,350
DMEAN_Cont_N_Conlang_S_L11_v2.npz,268
DMEAN_Cont_N_Conlang_S_L11_v3.npz,341
DMEAN_Cont_N_Conlang_S_L11_v4.npz,337
DMEAN_Cont_N_Conlang_S_L11_v5.npz,309
DMEAN_Cont_N_Conrandm_R_L11_v1.npz,323
DMEAN_Cont_N_Conrandm_R_L11_v2.npz,33
DMEAN_Cont_N_Conrandm_R_L11_v3.npz,362
DMEAN_Cont_N_Conrandm_R_L11_v4.npz,156
DMEAN_Cont_N_Conrandm_R_L11_v5.npz,19
DMEAN_Cont_N_Conrandm_S_L11_v1.npz,368
DMEAN_Cont_N_Conrandm_S_L11_v2.npz,296
DMEAN_Cont_N_Conrandm_S_L11_v3.npz,410
DMEAN_Cont_N_Conrandm_S_L11_v4.npz,380
DMEAN_Cont_N_Conrandm_S_L11_v5.npz,276
DMEAN_Cont_N_EmojiSoup_R_L11_v1.npz,347
DMEAN_Cont_N_EmojiSoup_R_L11_v2.npz,294
DMEAN_Cont_N_EmojiSoup_R_L11_v3.npz,6
DMEAN_Cont_N_EmojiSoup_R_L11_v4.npz,459
DMEAN_Cont_N_EmojiSoup_R_L11_v5.npz,501
DMEAN_Cont_N_EmojiSoup_S_L11_v1.npz,435
DMEAN_Cont_N_EmojiSoup_S_L11_v2.npz,402
DMEAN_Cont_N_EmojiSoup_S_L11_v3.npz,444
DMEAN_Cont_N_EmojiSoup_S_L11_v4.npz,441
DMEAN_Cont_N_EmojiSoup_S_L11_v5.npz,445
DMEAN_Cont_N_Jabberw_R_L11_v1.npz,423
DMEAN_Cont_N_Jabberw_R_L11_v2.npz,429
DMEAN_Cont_N_Jabberw_R_L11_v3.npz,46
DMEAN_Cont_N_Jabberw_R_L11_v4.npz,325
DMEAN_Cont_N_Jabberw_R_L11_v5.npz,282
DMEAN_Cont_N_Jabberw_S_L11_v1.npz,73
DMEAN_Cont_N_Jabberw_S_L11_v2.npz,503
DMEAN_Cont_N_Jabberw_S_L11_v3.npz,43
DMEAN_Cont_N_Jabberw_S_L11_v4.npz,417
DMEAN_Cont_N_Jabberw_S_L11_v5.npz,354
DMEAN_Cont_N_Morse_R_L11_v1.npz,432
DMEAN_Cont_N_Morse_R_L11_v2.npz,469
DMEAN_Cont_N_Morse_R_L11_v3.npz,55
DMEAN_Cont_N_Morse_R_L11_v4.npz,443
DMEAN_Cont_N_Morse_R_L11_v5.npz,211
DMEAN_Cont_N_Morse_S_L11_v1.npz,17
DMEAN_Cont_N_Morse_S_L11_v2.npz,344
