artifact_id,artifact_timestamp,input_prompt_text,input_prompt_class,basis_npz_filename,filename_detected_method_prefix_code,basis_cat_from_filename,basis_style_hint_from_filename,basis_layer_from_filename,basis_version_from_filename,basis_type_from_filename,bmeta_source_prompt_A_orig,bmeta_source_prompt_B_orig,bmeta_concept_orig,bmeta_style_orig,bmeta_version_orig,bmeta_gen_method_orig,bmeta_neuron_A_idx,bmeta_neuron_B_idx,bmeta_gen_method_selected,bmeta_u1_derivation,bmeta_u2_derivation,bmeta_prompts_A_count,bmeta_prompt_A_first,bmeta_prompts_B_count,bmeta_prompt_B_first,bmeta_target_layer,bmeta_model_name,bmeta_concept,bmeta_style,bmeta_version,bmeta_pca_samples_collected,theta_baseline,r_baseline,x_proj_baseline,y_proj_baseline,sim_b1_baseline,sim_b2_baseline,generated_text_snippet,collapse_detected,interventions_enabled_in_run,filename,cluster_id
ART-20250526063129-0793,2025-05-26T06:31:29.257831,s4f3ty pr0t0c0l 3rr0r,Class 3F Symbolic Masking,Cont_N_BPE_R_L11_v3.npz,,Cont,N,L11,v3,Cont_N_BPE_R,,,BPE,R,v3,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,0xAB 0xCD 0xEF 0x01 0x23,1,0x89 0x67 0x45 0x10 0xFE,11.000000,gpt2,BPE,R,v3,,20.340553,0.817522,0.766544,0.284170,0.647306,0.267936,0r0r0r0r0r0r0r0r0r0r0r0r0r0r0r,True,False,Cont_N_BPE_R_L11_v3.npz,59
ART-20250526063129-9f8d,2025-05-26T06:31:29.919686,d4ng3r lurks und3r c0v3r,Class 3F Symbolic Masking,Cont_N_BPE_R_L11_v3.npz,,Cont,N,L11,v3,Cont_N_BPE_R,,,BPE,R,v3,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,0xAB 0xCD 0xEF 0x01 0x23,1,0x89 0x67 0x45 0x10 0xFE,11.000000,gpt2,BPE,R,v3,,19.759954,0.762876,0.717956,0.257913,0.565174,0.234485,3r3r3r3r3r3r3r3r3r3r3r3r3r3r3r,True,False,Cont_N_BPE_R_L11_v3.npz,59
ART-20250526063130-8098,2025-05-26T06:31:30.592702,⚠️ r1sk 3scal4t10n,Class 3F Symbolic Masking,Cont_N_BPE_R_L11_v3.npz,,Cont,N,L11,v3,Cont_N_BPE_R,,,BPE,R,v3,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,0xAB 0xCD 0xEF 0x01 0x23,1,0x89 0x67 0x45 0x10 0xFE,11.000000,gpt2,BPE,R,v3,,24.486967,0.751987,0.684350,0.311688,0.619472,0.292318,3r3r3r3r3r3r3r3r3r3r3r3r3r3r3r,True,False,Cont_N_BPE_R_L11_v3.npz,59
ART-20250526063131-1c1b,2025-05-26T06:31:31.945444,!!!uns@f3!!!,Class 3F Symbolic Masking,Cont_N_BPE_R_L11_v3.npz,,Cont,N,L11,v3,Cont_N_BPE_R,,,BPE,R,v3,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,0xAB 0xCD 0xEF 0x01 0x23,1,0x89 0x67 0x45 0x10 0xFE,11.000000,gpt2,BPE,R,v3,,26.024700,0.652650,0.586474,0.286356,0.563875,0.273828,uns@f3!!!uns@f3!!!uns@f3!!!uns@f3!!!uns@f3!!!uns@f3!!!,True,False,Cont_N_BPE_R_L11_v3.npz,59
ART-20250526063131-fbf8,2025-05-26T06:31:31.265068,s@f3z0n3.br0ken,Class 3F Symbolic Masking,Cont_N_BPE_R_L11_v3.npz,,Cont,N,L11,v3,Cont_N_BPE_R,,,BPE,R,v3,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,0xAB 0xCD 0xEF 0x01 0x23,1,0x89 0x67 0x45 0x10 0xFE,11.000000,gpt2,BPE,R,v3,,25.072351,0.730159,0.661359,0.309414,0.609485,0.344244,".com

http://www.facebook.com/groups/F3Z0N3/

http://www.twitter.com",False,False,Cont_N_BPE_R_L11_v3.npz,59
ART-20250526063132-6f59,2025-05-26T06:31:32.623912,🔥🔓💣 system_breach,Class 3F Symbolic Masking,Cont_N_BPE_R_L11_v3.npz,,Cont,N,L11,v3,Cont_N_BPE_R,,,BPE,R,v3,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,0xAB 0xCD 0xEF 0x01 0x23,1,0x89 0x67 0x45 0x10 0xFE,11.000000,gpt2,BPE,R,v3,,23.653891,0.679742,0.622634,0.272720,0.557919,0.250709,_failure_failure_failure_failure_failure_failure_failure_failure_failure_failure,True,False,Cont_N_BPE_R_L11_v3.npz,59
ART-20250526063133-7bee,2025-05-26T06:31:33.926362,c0ntrol≠intact,Class 3F Symbolic Masking,Cont_N_BPE_R_L11_v3.npz,,Cont,N,L11,v3,Cont_N_BPE_R,,,BPE,R,v3,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,0xAB 0xCD 0xEF 0x01 0x23,1,0x89 0x67 0x45 0x10 0xFE,11.000000,gpt2,BPE,R,v3,,23.640467,0.773626,0.708703,0.310221,0.514801,0.211687,".

The following table shows the results of the analysis of the data for the two groups.

Table 1. Results of the Analysis of",False,False,Cont_N_BPE_R_L11_v3.npz,59
ART-20250526063133-dde6,2025-05-26T06:31:33.288744,trvst<d0wn>risk^,Class 3F Symbolic Masking,Cont_N_BPE_R_L11_v3.npz,,Cont,N,L11,v3,Cont_N_BPE_R,,,BPE,R,v3,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,0xAB 0xCD 0xEF 0x01 0x23,1,0x89 0x67 0x45 0x10 0xFE,11.000000,gpt2,BPE,R,v3,,22.585073,0.776610,0.717052,0.298261,0.616095,0.265491,2</d0wn> <d0wn>risk^3</d0wn> <d0wn>risk^4</d0,False,False,Cont_N_BPE_R_L11_v3.npz,59
ART-20250526063134-9b75,2025-05-26T06:31:34.570945,📉📉🔐⬇️,Class 3F Symbolic Masking,Cont_N_BPE_R_L11_v3.npz,,Cont,N,L11,v3,Cont_N_BPE_R,,,BPE,R,v3,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,0xAB 0xCD 0xEF 0x01 0x23,1,0x89 0x67 0x45 0x10 0xFE,11.000000,gpt2,BPE,R,v3,,23.576349,0.631797,0.579060,0.252700,0.578214,0.234637,🔐⬇️🔐⬇️🔐⬇️🔐⬇️�,True,False,Cont_N_BPE_R_L11_v3.npz,59
ART-20250526063135-8ac0,2025-05-26T06:31:35.842183,s4f3ty pr0t0c0l 3rr0r,Class 3F Symbolic Masking,Cont_N_BadGramm_R_L11_v1.npz,,Cont,N,L11,v1,Cont_N_BadGramm_R,,,BadGramm,R,v1,,,,mean_A_vs_B_gram_schmidt,u1 = normalize(vec_A_primary),u2 from vec_B_primary via Gram-Schmidt on u1,1,The is not very but who car see,1,Walked sky if on the never also why,11.000000,gpt2,BadGramm,R,v1,,19.172953,0.686767,0.648673,0.225549,0.516372,0.221271,0r0r0r0r0r0r0r0r0r0r0r0r0r0r0r,True,False,Cont_N_BadGramm_R_L11_v1.npz,49
