filename,u1_loaded,u2_loaded,plane_matrix_valid
Cont_N_BadGramm_R_L11_v1.npz,True,True,True
Cont_N_BadGramm_R_L11_v2.npz,True,True,True
Cont_N_BadGramm_R_L11_v3.npz,True,True,True
Cont_N_BadGramm_R_L11_v4.npz,True,True,True
Cont_N_BadGramm_R_L11_v5.npz,True,True,True
Cont_N_BadGramm_S_L11_v1.npz,True,True,True
Cont_N_BadGramm_S_L11_v2.npz,True,True,True
Cont_N_BadGramm_S_L11_v3.npz,True,True,True
Cont_N_BPE_R_L11_v3.npz,True,True,True
Cont_N_Conlang_R_L11_v3.npz,True,True,True
Cont_N_Conrandm_R_L11_v2.npz,True,True,True
Cont_N_Conrandm_R_L11_v4.npz,True,True,True
Cont_N_Conrandm_R_L11_v5.npz,True,True,True
Cont_N_EmojiSoup_R_L11_v3.npz,True,True,True
Cont_N_Jabberw_R_L11_v3.npz,True,True,True
Cont_N_Jabberw_S_L11_v1.npz,True,True,True
Cont_N_Jabberw_S_L11_v3.npz,True,True,True
Cont_N_Morse_R_L11_v3.npz,True,True,True
Cont_N_Morse_S_L11_v1.npz,True,True,True
Cont_N_Morse_S_L11_v3.npz,True,True,True
Cont_N_NonEng_R_L11_v2.npz,True,True,True
Cont_N_NonEng_R_L11_v5.npz,True,True,True
Cont_N_NonEng_S_L11_v2.npz,True,True,True
Cont_N_NonEng_S_L11_v4.npz,True,True,True
Cont_N_NonEng_S_L11_v5.npz,True,True,True
Cont_N_NonHumanMix_R_L11_v3.npz,True,True,True
Cont_N_NonHumanMix_S_L11_v1.npz,True,True,True
Cont_N_NonHumanMix_S_L11_v4.npz,True,True,True
Cont_N_OverEmoji_R_L11_v1.npz,True,True,True
Cont_N_Overload_R_L11_v1.npz,True,True,True
Cont_N_Overload_R_L11_v3.npz,True,True,True
Cont_N_Overload_R_L11_v4.npz,True,True,True
Cont_N_Overload_R_L11_v5.npz,True,True,True
Cont_N_Overload_S_L11_v2.npz,True,True,True
Cont_N_Overload_S_L11_v4.npz,True,True,True
Cont_N_Overload_S_L11_v5.npz,True,True,True
Cont_N_Overtoken_R_L11_v1.npz,True,True,True
Cont_N_Overtoken_R_L11_v5.npz,True,True,True
Cont_N_Overtoken_S_L11_v1.npz,True,True,True
Cont_N_Procbab_R_L11_v2.npz,True,True,True
Cont_N_Procbab_R_L11_v3.npz,True,True,True
Cont_N_Procbab_R_L11_v4.npz,True,True,True
Cont_N_Procbab_R_L11_v5.npz,True,True,True
Cont_N_Procbab_S_L11_v2.npz,True,True,True
Cont_N_Procbab_S_L11_v4.npz,True,True,True
Cont_N_Procbab_S_L11_v5.npz,True,True,True
Cont_N_Pseudolang_R_L11_v1.npz,True,True,True
Cont_N_SingLang_S_L11_v1.npz,True,True,True
Cont_N_SingLang_S_L11_v4.npz,True,True,True
Cont_N_SingLang_S_L11_v5.npz,True,True,True
Cont_N_SingLangNonHum_S_L11_v2.npz,True,True,True
Cont_N_SingLangNonHum_S_L11_v4.npz,True,True,True
Cont_N_SingLangNonHum_S_L11_v5.npz,True,True,True
Cont_N_SingLangNonHumMix_S_L11_v1.npz,True,True,True
Cont_N_SingLangNonHumMix_S_L11_v2.npz,True,True,True
Cont_N_SingLangNonHumMix_S_L11_v3.npz,True,True,True
Cont_N_SingLangNonHumMix_S_L11_v4.npz,True,True,True
Cont_N_SingLangNonHumMix_S_L11_v5.npz,True,True,True
Cont_N_StreamNoise_R_L11_v2.npz,True,True,True
Cont_N_StreamNoise_R_L11_v4.npz,True,True,True
Cont_N_StreamNoise_R_L11_v5.npz,True,True,True
Cont_N_StreamNoise_S_L11_v1.npz,True,True,True
Cont_N_StreamNoise_S_L11_v2.npz,True,True,True
Cont_N_StreamNoise_S_L11_v5.npz,True,True,True
Cont_N_SynthUniC_R_L11_v1.npz,True,True,True
Cont_N_SynthUniC_R_L11_v3.npz,True,True,True
Cont_N_SynthUniC_R_L11_v4.npz,True,True,True
Cont_N_SynthUniC_R_L11_v5.npz,True,True,True
Cont_N_SynthUniC_S_L11_v2.npz,True,True,True
Cont_N_SynthUniC_S_L11_v3.npz,True,True,True
Cont_N_SynthUniC_S_L11_v4.npz,True,True,True
Cont_N_SynthUniC_S_L11_v5.npz,True,True,True
Cont_N_Typobabble_S_L11_v2.npz,True,True,True
Cont_N_Zalgo_S_L11_v1.npz,True,True,True
Cont_WallfacZ_L11_v1.npz,True,True,True
Cont_WallfacZ_L11_v2.npz,True,True,True
Cont_WallfacZ_L11_v3.npz,True,True,True
Cont_WallfacZ_L11_v4.npz,True,True,True
Cont_WallfacZ_L11_v5.npz,True,True,True
CtrlPolar_FastSlow_L11_v2.npz,True,True,True
CtrlPolar_HappySad_L11_v4.npz,True,True,True
CtrlPolar_HotCold_L11_v1.npz,True,True,True
CtrlPolar_SimpleComplex_L11_v5.npz,True,True,True
DMEAN_Cont_N_Alphabets_R_L11_v1.npz,True,True,True
DMEAN_Cont_N_Alphabets_R_L11_v2.npz,True,True,True
DMEAN_Cont_N_Alphabets_R_L11_v3.npz,True,True,True
DMEAN_Cont_N_Alphabets_R_L11_v4.npz,True,True,True
DMEAN_Cont_N_Alphabets_R_L11_v5.npz,True,True,True
DMEAN_Cont_N_Alphabets_S_L11_v1.npz,True,True,True
DMEAN_Cont_N_Alphabets_S_L11_v2.npz,True,True,True
DMEAN_Cont_N_Alphabets_S_L11_v3.npz,True,True,True
DMEAN_Cont_N_Alphabets_S_L11_v4.npz,True,True,True
DMEAN_Cont_N_Alphabets_S_L11_v5.npz,True,True,True
DMEAN_Cont_N_BadGramm_R_L11_v1.npz,True,True,True
DMEAN_Cont_N_BadGramm_R_L11_v2.npz,True,True,True
DMEAN_Cont_N_BadGramm_R_L11_v3.npz,True,True,True
DMEAN_Cont_N_BadGramm_R_L11_v4.npz,True,True,True
DMEAN_Cont_N_BadGramm_R_L11_v5.npz,True,True,True
DMEAN_Cont_N_BadGramm_S_L11_v1.npz,True,True,True
DMEAN_Cont_N_BadGramm_S_L11_v2.npz,True,True,True
DMEAN_Cont_N_BadGramm_S_L11_v3.npz,True,True,True
DMEAN_Cont_N_BadGramm_S_L11_v4.npz,True,True,True
DMEAN_Cont_N_BadGramm_S_L11_v5.npz,True,True,True
DMEAN_Cont_N_BPE_R_L11_v1.npz,True,True,True
DMEAN_Cont_N_BPE_R_L11_v2.npz,True,True,True
DMEAN_Cont_N_BPE_R_L11_v3.npz,True,True,True
DMEAN_Cont_N_BPE_R_L11_v4.npz,True,True,True
DMEAN_Cont_N_BPE_R_L11_v5.npz,True,True,True
DMEAN_Cont_N_BPE_S_L11_v1.npz,True,True,True
DMEAN_Cont_N_BPE_S_L11_v2.npz,True,True,True
DMEAN_Cont_N_BPE_S_L11_v3.npz,True,True,True
DMEAN_Cont_N_BPE_S_L11_v4.npz,True,True,True
DMEAN_Cont_N_BPE_S_L11_v5.npz,True,True,True
DMEAN_Cont_N_Conlang_R_L11_v1.npz,True,True,True
DMEAN_Cont_N_Conlang_R_L11_v2.npz,True,True,True
DMEAN_Cont_N_Conlang_R_L11_v3.npz,True,True,True
DMEAN_Cont_N_Conlang_R_L11_v4.npz,True,True,True
DMEAN_Cont_N_Conlang_R_L11_v5.npz,True,True,True
DMEAN_Cont_N_Conlang_S_L11_v1.npz,True,True,True
DMEAN_Cont_N_Conlang_S_L11_v2.npz,True,True,True
DMEAN_Cont_N_Conlang_S_L11_v3.npz,True,True,True
DMEAN_Cont_N_Conlang_S_L11_v4.npz,True,True,True
DMEAN_Cont_N_Conlang_S_L11_v5.npz,True,True,True
